record_id,goodreads_book_id,title,authors,average_rating,ratings_count,tags_string
1,2767052,"The Hunger Games (The Hunger Games, #1)","Suzanne Collins",4.34,4780653,"dystopia young-adult fiction fantasy sci-fi survival rebellion adventure romance series"
2,3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",4.44,4602479,"fantasy young-adult fiction magic wizard children adventure school friendship series"
3,41865,"Twilight (Twilight, #1)","Stephenie Meyer",3.57,3866839,"young-adult romance vampires fantasy paranormal fiction supernatural series love"
4,2657,"To Kill a Mockingbird","Harper Lee",4.25,3255518,"classics historical-fiction school literature social-justice race coming-of-age american"
5,4671,"The Great Gatsby","F. Scott Fitzgerald",3.89,2758812,"classics fiction literature american school historical jazz-age tragedy wealth"
6,11870085,"The Fault in Our Stars","John Green",4.26,2346404,"young-adult contemporary romance realistic-fiction illness cancer emotional teen"
7,5907,"The Hobbit","J.R.R. Tolkien",4.25,2099680,"fantasy classics adventure fiction middle-earth magic dragons quest"
8,5107,"The Catcher in the Rye","J.D. Salinger",3.79,2044241,"classics fiction coming-of-age school literature american teenage rebellion"
9,960,"Angels & Demons (Robert Langdon, #1)","Dan Brown",3.85,2001311,"thriller mystery fiction suspense conspiracy crime adventure religious"
10,5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré",4.53,1832823,"fantasy young-adult fiction magic wizard children adventure school friendship series"
11,6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",4.53,1753043,"fantasy young-adult fiction magic wizard children adventure school friendship series tournament"
12,136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",4.61,1746574,"fantasy young-adult fiction magic wizard adventure school friendship series war"
13,6148028,"Catching Fire (The Hunger Games, #2)","Suzanne Collins",4.30,1831039,"dystopia young-adult fiction fantasy sci-fi survival rebellion adventure romance series"
14,7260188,"Mockingjay (The Hunger Games, #3)","Suzanne Collins",4.03,1719760,"dystopia young-adult fiction fantasy sci-fi survival rebellion war adventure series"
15,13335037,"Divergent (Divergent, #1)","Veronica Roth",4.24,1903563,"dystopia young-adult fiction sci-fi fantasy survival rebellion romance series"
16,77203,"The Kite Runner","Khaled Hosseini",4.26,1813044,"historical-fiction contemporary fiction afghanistan friendship drama war literary"
17,2429135,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson",4.11,1808403,"mystery thriller crime fiction suspense swedish investigation series"
18,968,"The Da Vinci Code (Robert Langdon, #2)","Dan Brown",3.79,1679706,"thriller mystery fiction suspense conspiracy crime adventure religious art"
19,34,"The Fellowship of the Ring (The Lord of the Rings, #1)","J.R.R. Tolkien",4.36,1628699,"fantasy classics adventure fiction middle-earth epic quest magic series"
20,15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",4.37,1779331,"fantasy young-adult fiction magic wizard children adventure school friendship series"
21,153747,"Moby-Dick or, the Whale","Herman Melville",3.49,404433,"classics literature adventure nautical fiction american philosophy obsession"
22,170448,"Animal Farm","George Orwell",3.98,1928931,"classics dystopia politics fiction school satire allegory literature"
23,5470,"1984","George Orwell",4.19,2143332,"classics dystopia politics fiction science-fiction surveillance totalitarian literature"
24,3,"The Lord of the Rings","J.R.R. Tolkien",4.50,590000,"fantasy classics adventure fiction middle-earth epic quest magic series"
25,18619684,"The Time Traveler's Wife","Audrey Niffenegger",3.95,1268860,"romance science-fiction time-travel contemporary fiction love drama"
26,6310,"Charlie and the Chocolate Factory","Roald Dahl",4.10,701000,"children fantasy classics adventure humor family chocolate magic"
27,6327,"Matilda","Roald Dahl",4.32,900000,"children fantasy classics school magic family humor young-adult"
28,17899948,"Rebecca","Daphne du Maurier",4.25,559000,"classics mystery gothic romance suspense fiction psychological estate"
29,11,"The Hitchhiker's Guide to the Galaxy","Douglas Adams",4.22,1600000,"science-fiction humor classics adventure space aliens comedy fiction"
30,375802,"Ender's Game","Orson Scott Card",4.31,1200000,"science-fiction young-adult space military aliens strategy fiction"
